"Date","Open","High","Low","Close"
"05 Jul 2019","2107.30","2112.95","2045.95","2053.15"
"04 Jul 2019","2121.80","2137.15","2099.75","2103.60"
"03 Jul 2019","2085.30","2123.20","2085.00","2111.75"
"02 Jul 2019","2092.15","2116.35","2068.80","2089.35"
"01 Jul 2019","2042.25","2109.85","2019.50","2092.75"
"28 Jun 2019","2044.25","2057.55","2031.10","2039.80"
"27 Jun 2019","2051.60","2071.15","2038.70","2049.65"
"26 Jun 2019","2039.55","2062.80","2032.90","2053.95"
"25 Jun 2019","2028.80","2051.20","1998.85","2043.45"
"24 Jun 2019","2053.55","2061.70","2022.75","2038.05"
"21 Jun 2019","2067.90","2072.15","2042.80","2047.70"
"20 Jun 2019","2055.55","2083.15","2020.65","2076.95"
"19 Jun 2019","2057.55","2081.75","2036.90","2058.55"
"18 Jun 2019","2053.90","2084.70","2034.65","2051.20"
"17 Jun 2019","2088.15","2090.85","2042.50","2053.70"
"14 Jun 2019","2127.35","2134.45","2069.45","2086.15"
"13 Jun 2019","2103.20","2138.00","2091.30","2134.00"
"12 Jun 2019","2115.80","2134.85","2100.30","2109.65"
"11 Jun 2019","2103.20","2126.95","2069.30","2122.90"
"10 Jun 2019","2149.80","2156.70","2075.10","2095.35"
"07 Jun 2019","2135.75","2144.75","2102.70","2131.45"
"06 Jun 2019","2155.40","2158.20","2108.65","2131.95"
"04 Jun 2019","2195.70","2197.90","2162.20","2165.95"
"03 Jun 2019","2213.25","2217.95","2182.50","2198.00"
"31 May 2019","2235.90","2247.55","2177.25","2204.05"
"30 May 2019","2225.35","2237.00","2213.20","2226.40"
"29 May 2019","2240.85","2241.50","2198.85","2225.30"
"28 May 2019","2224.95","2252.95","2187.90","2245.85"
"27 May 2019","2211.45","2238.35","2195.25","2202.30"
"24 May 2019","2201.00","2228.10","2177.70","2220.80"
"23 May 2019","2204.15","2236.95","2184.60","2192.10"
"22 May 2019","2182.15","2185.65","2136.50","2163.60"
"21 May 2019","2231.20","2249.00","2159.40","2174.90"
"20 May 2019","2263.95","2284.95","2181.35","2226.50"
"17 May 2019","2125.90","2203.50","2121.60","2190.25"
"16 May 2019","2079.15","2133.25","2053.70","2115.55"
"15 May 2019","2156.30","2162.00","2055.90","2068.70"
"14 May 2019","2141.15","2167.40","2100.50","2149.05"
"13 May 2019","2227.45","2228.40","2133.75","2143.85"
"10 May 2019","2224.50","2246.25","2212.95","2228.00"
"09 May 2019","2149.40","2224.15","2142.00","2209.95"
"08 May 2019","2230.25","2235.65","2112.90","2133.65"
"07 May 2019","2303.75","2313.70","2195.60","2234.95"
"06 May 2019","2331.90","2343.25","2290.05","2297.90"
"03 May 2019","2374.70","2381.05","2345.20","2349.05"
"02 May 2019","2412.35","2421.70","2364.55","2370.15"
"30 Apr 2019","2379.10","2416.35","2345.20","2408.75"
"26 Apr 2019","2391.90","2400.25","2366.20","2375.25"
"25 Apr 2019","2402.95","2410.70","2370.10","2379.55"
"24 Apr 2019","2371.15","2392.70","2359.05","2390.35"
"23 Apr 2019","2369.85","2408.10","2356.15","2361.75"
"22 Apr 2019","2378.00","2382.55","2352.10","2358.60"
"18 Apr 2019","2442.95","2443.65","2374.95","2380.10"
"16 Apr 2019","2438.25","2454.60","2430.30","2433.90"
"15 Apr 2019","2448.95","2457.80","2429.35","2433.25"
"12 Apr 2019","2408.85","2447.45","2406.20","2442.85"
"11 Apr 2019","2412.75","2424.55","2388.00","2408.60"
"10 Apr 2019","2408.85","2434.90","2394.60","2404.05"
"09 Apr 2019","2422.25","2426.30","2393.45","2410.75"
"08 Apr 2019","2447.90","2463.85","2408.95","2415.80"
"05 Apr 2019","2442.35","2451.90","2427.90","2440.85"
"04 Apr 2019","2396.60","2434.00","2374.95","2428.00"
"03 Apr 2019","2471.30","2472.15","2392.10","2401.85"
"02 Apr 2019","2465.25","2487.10","2418.00","2459.45"
"01 Apr 2019","2503.95","2517.65","2475.00","2481.00"
"29 Mar 2019","2481.25","2513.90","2464.10","2496.60"
"28 Mar 2019","2397.35","2476.50","2395.75","2468.65"
"27 Mar 2019","2376.60","2402.90","2369.55","2385.65"
"26 Mar 2019","2350.70","2385.70","2350.60","2363.40"
"25 Mar 2019","2388.10","2411.55","2334.35","2343.35"
"22 Mar 2019","2473.05","2473.40","2404.90","2409.80"
"20 Mar 2019","2522.20","2522.20","2448.00","2453.55"
"19 Mar 2019","2540.00","2554.50","2519.90","2539.35"
