"Date","Open","High","Low","Close"
"05 Jul 2019","17396.05","17453.60","17287.95","17353.50"
"04 Jul 2019","17379.00","17468.05","17351.45","17377.30"
"03 Jul 2019","17299.30","17386.35","17242.90","17330.90"
"02 Jul 2019","17386.45","17393.95","17189.10","17259.50"
"01 Jul 2019","17294.10","17410.95","17290.40","17358.90"
"28 Jun 2019","17324.55","17340.30","17163.10","17197.00"
"27 Jun 2019","17272.45","17441.40","17252.85","17314.35"
"26 Jun 2019","17065.35","17279.70","17040.90","17253.40"
"25 Jun 2019","16929.20","17125.55","16862.70","17084.30"
"24 Jun 2019","17026.90","17066.20","16913.95","16951.90"
"21 Jun 2019","17121.10","17121.10","16941.40","16984.20"
"20 Jun 2019","16849.90","17125.75","16768.45","17101.40"
"19 Jun 2019","16950.75","17052.20","16793.00","16846.85"
"18 Jun 2019","16858.45","16985.90","16783.55","16854.70"
"17 Jun 2019","17034.75","17062.70","16808.65","16823.65"
"14 Jun 2019","17256.65","17284.85","16952.10","17009.00"
"13 Jun 2019","17228.95","17280.20","17066.30","17243.25"
"12 Jun 2019","17450.10","17453.90","17272.90","17300.90"
"11 Jun 2019","17422.85","17561.20","17313.80","17479.85"
"10 Jun 2019","17461.95","17532.15","17242.60","17343.30"
"07 Jun 2019","17320.25","17409.65","17108.00","17368.70"
"06 Jun 2019","17639.40","17647.45","17231.00","17261.35"
"04 Jun 2019","17620.20","17763.95","17613.25","17665.20"
"03 Jun 2019","17538.85","17700.80","17464.75","17689.20"
"31 May 2019","17691.85","17750.40","17108.40","17522.20"
"30 May 2019","17462.05","17676.70","17452.55","17611.95"
"29 May 2019","17547.05","17594.30","17470.20","17493.35"
"28 May 2019","17673.50","17691.95","17463.65","17617.60"
"27 May 2019","17420.50","17661.05","17354.75","17629.05"
"24 May 2019","17136.40","17445.15","17063.55","17404.95"
"23 May 2019","17230.45","17638.50","16928.95","16988.45"
"22 May 2019","16925.10","17110.55","16845.75","17010.05"
"21 May 2019","17192.95","17243.25","16853.10","16874.30"
"20 May 2019","16850.70","17171.30","16790.55","17130.50"
"17 May 2019","16126.65","16492.75","16119.55","16438.00"
"16 May 2019","16004.30","16154.00","15939.75","16103.25"
"15 May 2019","16195.30","16229.20","15959.90","15998.40"
"14 May 2019","16105.90","16286.65","16032.90","16146.70"
"13 May 2019","16300.00","16313.65","16061.10","16081.35"
"10 May 2019","16310.65","16443.80","16272.40","16322.60"
"09 May 2019","16294.70","16385.30","16250.55","16295.65"
"08 May 2019","16499.70","16499.70","16337.80","16356.35"
"07 May 2019","16764.95","16818.10","16484.95","16509.10"
"06 May 2019","16707.45","16778.10","16650.65","16695.20"
"03 May 2019","16814.00","16989.30","16802.05","16893.65"
"02 May 2019","16768.00","16892.25","16720.50","16754.70"
"30 Apr 2019","16971.75","16971.75","16707.95","16807.40"
"26 Apr 2019","16946.60","17082.80","16803.50","17062.00"
"25 Apr 2019","17020.60","17107.10","16787.60","16817.15"
"24 Apr 2019","16806.00","17003.50","16736.95","16974.15"
"23 Apr 2019","16920.85","17010.20","16748.45","16760.95"
"22 Apr 2019","17259.40","17266.50","16855.70","16877.05"
"18 Apr 2019","17488.80","17498.15","17183.90","17230.90"
"16 Apr 2019","17200.60","17444.25","17194.75","17411.00"
"15 Apr 2019","17060.15","17156.70","17018.45","17120.90"
"12 Apr 2019","16949.30","17068.20","16911.95","17032.20"
"11 Apr 2019","17011.30","17014.00","16873.50","16946.95"
"10 Apr 2019","17038.45","17179.05","16967.40","16990.50"
"09 Apr 2019","17001.70","17178.35","16907.30","17146.05"
"08 Apr 2019","17175.40","17191.60","16901.30","16971.95"
"05 Apr 2019","17015.95","17160.80","16969.65","17111.80"
"04 Apr 2019","17127.60","17163.60","16909.75","16961.60"
"03 Apr 2019","17276.30","17367.40","17063.05","17101.50"
"02 Apr 2019","17299.90","17299.90","17117.60","17226.70"
"01 Apr 2019","17377.15","17431.70","17165.35","17225.25"
"29 Mar 2019","17359.40","17370.50","17224.10","17315.55"
"28 Mar 2019","17136.90","17367.40","17082.80","17336.75"
"27 Mar 2019","17104.40","17264.00","16982.90","17108.55"
"26 Mar 2019","16681.05","17052.00","16663.55","17012.35"
"25 Mar 2019","16741.15","16744.70","16600.55","16664.35"
"22 Mar 2019","17045.40","17094.40","16819.50","16879.10"
"20 Mar 2019","17001.00","17036.10","16905.80","16986.20"
"19 Mar 2019","16975.00","17021.25","16873.40","17001.90"
"18 Mar 2019","16860.10","17030.25","16784.50","16915.55"
"15 Mar 2019","16555.60","16873.35","16543.10","16769.35"
"14 Mar 2019","16534.50","16585.70","16455.90","16507.00"
"13 Mar 2019","16271.90","16506.25","16187.20","16463.25"
"12 Mar 2019","16070.20","16292.00","16051.20","16257.90"
"11 Mar 2019","15871.65","16001.30","15840.95","15960.25"
"08 Mar 2019","15801.00","15874.45","15775.20","15845.40"
"07 Mar 2019","15816.60","15875.95","15754.95","15842.70"
"06 Mar 2019","15795.90","15832.85","15725.85","15806.80"
"05 Mar 2019","15452.80","15766.55","15384.15","15756.75"
"01 Mar 2019","15382.25","15454.25","15370.85","15437.70"
"28 Feb 2019","15343.50","15357.95","15267.75","15291.35"
"27 Feb 2019","15454.30","15521.80","15229.50","15284.60"
"26 Feb 2019","15290.90","15483.60","15229.75","15378.20"
"25 Feb 2019","15353.55","15502.40","15347.35","15481.50"
"22 Feb 2019","15350.65","15371.00","15292.65","15310.45"
"21 Feb 2019","15391.25","15463.05","15385.05","15430.25"
"20 Feb 2019","15300.00","15392.90","15268.30","15376.05"
"19 Feb 2019","15235.70","15431.15","15199.10","15239.80"
"18 Feb 2019","15246.50","15312.65","15212.95","15233.40"
"15 Feb 2019","15416.85","15429.10","15201.20","15299.05"
"14 Feb 2019","15339.20","15417.45","15254.90","15386.40"
"13 Feb 2019","15357.35","15386.40","15236.85","15257.35"
"12 Feb 2019","15402.75","15474.85","15315.75","15331.05"
"11 Feb 2019","15468.65","15498.40","15396.00","15449.25"
"08 Feb 2019","15510.55","15594.30","15458.85","15493.50"
"07 Feb 2019","15551.50","15648.95","15505.10","15552.85"
"06 Feb 2019","15520.10","15566.60","15499.70","15541.75"
"05 Feb 2019","15463.20","15541.15","15425.15","15491.00"
"04 Feb 2019","15300.65","15469.70","15228.70","15441.25"
"01 Feb 2019","15503.00","15592.85","15265.40","15382.10"
"31 Jan 2019","15341.90","15517.00","15278.00","15495.10"
"30 Jan 2019","15216.35","15304.30","15163.70","15242.20"
"29 Jan 2019","15057.60","15132.65","14955.00","15053.85"
"28 Jan 2019","15335.80","15381.60","15024.50","15072.30"
"25 Jan 2019","15470.35","15586.10","15338.50","15384.80"
"24 Jan 2019","15468.80","15529.20","15368.60","15466.55"
"23 Jan 2019","15568.15","15622.30","15421.05","15459.65"
"22 Jan 2019","15548.05","15567.45","15494.50","15557.40"
"21 Jan 2019","15524.05","15586.35","15446.05","15552.45"
"18 Jan 2019","15541.10","15559.85","15475.95","15505.80"
"17 Jan 2019","15538.00","15588.10","15423.10","15537.80"
"16 Jan 2019","15429.05","15528.55","15427.00","15485.50"
"15 Jan 2019","15391.10","15453.70","15390.75","15429.95"
"14 Jan 2019","15448.25","15448.40","15311.30","15353.65"
"11 Jan 2019","15576.40","15583.35","15435.05","15484.05"
"10 Jan 2019","15663.40","15663.40","15491.00","15527.30"
"09 Jan 2019","15599.35","15687.30","15476.30","15665.55"
"08 Jan 2019","15389.50","15544.45","15315.75","15520.50"
"07 Jan 2019","15403.90","15486.10","15372.50","15391.30"
"04 Jan 2019","15196.45","15347.40","15135.55","15302.75"
"03 Jan 2019","15303.30","15313.90","15154.35","15178.95"
"02 Jan 2019","15330.05","15405.15","15237.05","15300.55"
"01 Jan 2019","15324.40","15410.40","15203.15","15391.45"
"31 Dec 2018","15337.00","15351.90","15254.55","15292.00"
"28 Dec 2018","15228.65","15317.80","15215.40","15268.05"
"27 Dec 2018","15296.05","15317.10","15110.55","15128.00"
"26 Dec 2018","14986.70","15190.60","14837.25","15167.00"
"24 Dec 2018","15124.15","15173.35","15020.20","15041.80"
"21 Dec 2018","15370.35","15416.50","15084.05","15117.05"
"20 Dec 2018","15275.75","15393.00","15254.40","15374.60"
"19 Dec 2018","15346.20","15424.00","15320.55","15373.00"
"18 Dec 2018","15168.75","15331.15","15123.60","15313.55"
"17 Dec 2018","15193.30","15265.70","15180.95","15222.95"
"14 Dec 2018","15119.95","15165.45","15063.50","15139.05"
"13 Dec 2018","15148.00","15207.00","15066.60","15125.90"
"12 Dec 2018","14811.65","15056.65","14770.75","15041.80"
"11 Dec 2018","14410.95","14797.15","14398.60","14746.25"
"10 Dec 2018","14744.35","14907.35","14668.00","14700.40"
"07 Dec 2018","14809.15","15075.30","14779.60","15041.70"
"06 Dec 2018","14855.80","14870.00","14718.45","14750.60"
"05 Dec 2018","15030.45","15052.15","14928.80","14964.70"
"04 Dec 2018","15129.20","15156.95","15068.35","15109.95"
"03 Dec 2018","15267.75","15270.75","15119.75","15160.45"
"30 Nov 2018","15238.65","15239.15","15088.00","15154.45"
"29 Nov 2018","14997.60","15223.35","14967.10","15198.40"
"28 Nov 2018","14933.60","14962.90","14876.35","14907.55"
"27 Nov 2018","14848.75","14933.45","14803.30","14899.65"
"26 Nov 2018","14746.30","14902.20","14697.35","14883.50"
"22 Nov 2018","14839.00","14887.10","14670.75","14696.60"
"21 Nov 2018","14759.65","14892.95","14729.45","14845.60"
"20 Nov 2018","14822.55","14867.20","14721.50","14767.90"
"19 Nov 2018","14890.15","14917.70","14809.75","14871.40"
"16 Nov 2018","14876.95","14937.90","14773.65","14828.45"
"15 Nov 2018","14723.75","14882.65","14621.05","14852.20"
"14 Nov 2018","14799.80","14825.45","14644.30","14720.40"
"13 Nov 2018","14449.50","14708.65","14435.65","14691.50"
"12 Nov 2018","14643.30","14716.90","14497.20","14523.10"
"09 Nov 2018","14555.30","14648.85","14462.35","14622.70"
"07 Nov 2018","14595.55","14609.50","14533.00","14554.20"
"06 Nov 2018","14503.05","14595.15","14446.00","14465.70"
"05 Nov 2018","14568.85","14577.60","14431.90","14499.50"
"02 Nov 2018","14447.90","14633.55","14423.95","14552.65"
"01 Nov 2018","14263.95","14374.40","14183.50","14314.50"
"31 Oct 2018","13999.20","14231.35","13835.35","14206.65"
"30 Oct 2018","14099.75","14201.90","13926.50","13988.90"
"29 Oct 2018","13944.05","14167.55","13798.60","14123.50"
"26 Oct 2018","14021.05","14021.05","13735.10","13785.05"
"25 Oct 2018","14051.15","14115.25","13974.30","14073.80"
"24 Oct 2018","14325.70","14356.20","14042.45","14180.85"
"23 Oct 2018","13987.20","14212.15","13985.60","14126.00"
"22 Oct 2018","14404.35","14416.70","14111.50","14151.75"
"19 Oct 2018","14146.75","14329.95","14104.80","14209.55"
"17 Oct 2018","14643.00","14693.25","14225.30","14281.50"
"16 Oct 2018","14381.50","14582.60","14353.75","14496.75"
"15 Oct 2018","14432.25","14432.25","14232.50","14359.60"
"12 Oct 2018","14158.55","14458.10","14146.90","14412.55"
"11 Oct 2018","13831.65","14132.85","13803.85","14031.15"
"10 Oct 2018","13880.75","14329.10","13858.95","14289.85"
"09 Oct 2018","13915.20","13970.75","13794.30","13826.75"
"08 Oct 2018","13747.25","13940.75","13617.90","13864.55"
"05 Oct 2018","13901.80","14123.10","13607.60","13735.80"
"04 Oct 2018","13824.70","14002.10","13702.65","13953.30"
"03 Oct 2018","14181.50","14268.90","13990.90","14015.95"
"01 Oct 2018","14006.65","14252.05","13826.10","14226.60"
"28 Sep 2018","14190.65","14270.10","14028.35","14151.05"
"27 Sep 2018","14446.80","14453.35","14112.45","14133.05"
"26 Sep 2018","14456.10","14456.50","14273.35","14401.95"
"25 Sep 2018","14139.35","14396.75","13967.45","14346.95"
"24 Sep 2018","14539.40","14545.80","14119.10","14154.55"
"21 Sep 2018","15033.75","15121.15","14275.95","14513.65"
"19 Sep 2018","15156.25","15206.65","15008.10","15032.95"
"18 Sep 2018","15249.65","15345.15","15084.05","15103.95"
"17 Sep 2018","15354.00","15354.00","15223.40","15277.15"
"14 Sep 2018","15385.20","15472.50","15339.75","15448.25"
"12 Sep 2018","15320.40","15320.40","15102.55","15248.80"
"11 Sep 2018","15519.75","15543.90","15240.50","15263.85"
"10 Sep 2018","15564.15","15584.40","15426.80","15475.95"
"07 Sep 2018","15572.65","15639.40","15437.10","15618.30"
"06 Sep 2018","15582.30","15625.95","15459.95","15590.80"
