Date,Open,High,Low,Close,Adj Close,Volume
2010-04-01,233.600006,236.839996,233.600006,234.710007,166.447510,3816315
2010-04-05,235.440002,236.600006,231.600006,235.419998,166.951035,4195040
2010-04-06,236.000000,236.779999,233.199997,234.910004,166.589355,4302480
2010-04-07,236.399994,238.630005,229.660004,232.860001,165.135574,18454375
2010-04-08,231.389999,233.100006,230.000000,231.350006,164.064713,6740765
2010-04-09,232.000000,239.970001,231.500000,236.690002,167.851654,12797095
2010-04-12,236.259995,237.679993,233.029999,235.380005,166.922668,7172525
2010-04-13,236.000000,236.000000,230.610001,231.520004,164.185303,4825870
2010-04-15,233.000000,234.589996,228.399994,229.660004,162.866241,7152780
2010-04-16,229.229996,231.940002,226.279999,229.679993,162.880417,5622710
2010-04-19,228.000000,232.800003,225.639999,231.860001,164.426407,6129665
2010-04-20,232.000000,239.000000,232.000000,237.399994,168.355148,8998350
2010-04-21,239.000000,250.399994,239.000000,247.479996,175.503525,26047175
2010-04-22,244.240005,248.399994,244.220001,244.990005,173.737701,13803410
2010-04-23,244.899994,248.000000,244.320007,247.179993,175.290771,5720055
2010-04-26,248.000000,257.399994,247.589996,255.919998,181.488846,16826845
2010-04-27,254.600006,257.000000,251.440002,255.309998,181.056274,7134950
2010-04-28,253.000000,253.990005,249.250000,250.820007,177.872116,6100705
2010-04-29,251.770004,256.980011,251.770004,254.820007,180.708771,13210430
2010-04-30,257.200012,257.200012,252.619995,254.000000,180.127274,5560430
2010-05-03,253.600006,256.589996,250.399994,252.100006,178.779846,2338320
2010-05-04,252.419998,258.179993,248.850006,249.889999,177.212616,8337075
2010-05-05,243.320007,250.320007,243.279999,248.259995,176.056656,6726505
2010-05-06,244.800003,250.559998,244.000000,246.789993,175.014191,4212245
2010-05-07,241.039993,244.000000,236.440002,238.229996,168.943787,9055115
2010-05-10,240.399994,251.779999,240.399994,249.889999,177.212616,7993775
2010-05-11,249.800003,255.779999,248.850006,251.869995,178.616745,9079200
2010-05-12,246.259995,259.600006,246.259995,257.980011,182.949738,9068370
2010-05-13,259.000000,264.000000,258.600006,262.309998,186.020401,9973175
2010-05-14,261.600006,262.559998,256.000000,259.149994,183.779434,18998125
2010-05-17,254.000000,255.419998,246.100006,252.440002,179.020966,16886290
2010-05-18,252.440002,253.940002,249.259995,250.940002,177.957214,16597995
2010-05-19,248.600006,248.800003,238.669998,241.009995,170.915253,11986965
2010-05-20,241.199997,245.600006,236.449997,241.589996,180.303970,11543770
2010-05-21,236.149994,244.600006,234.589996,243.130005,181.453308,8823435
2010-05-24,243.130005,248.000000,238.059998,239.669998,178.871033,5085955
2010-05-25,237.559998,237.800003,231.000000,232.779999,173.728867,7723085
2010-05-26,234.000000,238.399994,230.009995,231.380005,172.684036,14306915
2010-05-27,231.399994,244.399994,229.429993,243.160004,181.475693,13507560
2010-05-28,245.000000,247.600006,241.160004,245.070007,182.901184,7747100
2010-05-31,243.160004,247.600006,242.020004,246.470001,183.946014,4662770
2010-06-01,247.000000,247.600006,235.399994,236.339996,176.385773,8930410
2010-06-02,239.000000,241.389999,233.699997,240.229996,179.288986,6537050
2010-06-03,242.199997,249.600006,242.199997,248.460007,185.431213,7414595
2010-06-04,248.000000,251.600006,248.000000,249.089996,185.901367,7272295
2010-06-07,243.720001,245.000000,239.199997,242.960007,181.326431,7122970
2010-06-08,242.880005,248.520004,242.880005,245.240005,183.028076,8407510
2010-06-09,244.979996,250.779999,244.979996,247.929993,185.035660,7812710
2010-06-10,247.929993,250.000000,244.050003,249.600006,186.282013,6817990
2010-06-11,250.399994,252.029999,247.649994,249.160004,185.953613,7028035
2010-06-14,250.199997,252.399994,248.050003,251.300003,187.550766,3069890
2010-06-15,248.820007,251.300003,246.039993,249.050003,185.871536,3309380
2010-06-16,250.000000,250.000000,243.020004,244.119995,182.192169,6787285
2010-06-17,244.000000,244.600006,238.389999,243.000000,181.356293,11126405
2010-06-18,243.000000,245.550003,240.460007,242.300003,180.833862,12770945
2010-06-21,244.000000,250.419998,244.000000,249.460007,186.177536,7028360
2010-06-22,248.020004,251.580002,246.250000,247.130005,184.438599,4845490
2010-06-23,245.059998,251.300003,245.059998,249.880005,186.490967,5381525
2010-06-24,248.059998,253.699997,248.059998,252.639999,188.550827,9207320
2010-06-25,252.199997,255.529999,247.479996,249.820007,186.446198,6537805
2010-06-28,250.199997,253.259995,248.399994,252.389999,188.364258,3983065
2010-06-29,251.020004,251.820007,246.800003,248.130005,185.184891,5399395
2010-06-30,245.000000,249.190002,244.419998,248.479996,185.446121,7153910
2010-07-01,248.399994,248.399994,243.009995,246.729996,184.140045,5839670
2010-07-02,247.000000,249.600006,246.419998,247.440002,184.669968,2428120
2010-07-05,247.220001,249.000000,245.089996,247.190002,184.483383,2097975
